38,Terminator 2: Judgment Day,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5,"9,77,046",/title/tt0103064/,"https://m.media-amazon.com/images/M/MV5BMGU2NzRmZjUtOGUxYS00ZjdjLWEwZWItY2NlM2JhNjkxNTFmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
39,American History X,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5,"10,16,099",/title/tt0120586/,"https://m.media-amazon.com/images/M/MV5BZjA0MTM4MTQtNzY5MC00NzY3LWI1ZTgtYzcxMjkyMzU4MDZiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
40,Modern Times,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.5,"2,11,951",/title/tt0027977/,"https://m.media-amazon.com/images/M/MV5BYjJiZjMzYzktNjU0NS00OTkxLWEwYzItYzdhYWJjN2QzMTRlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX45_CR0,0,45,67_AL_.jpg"
41,Psycho,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5,"5,88,678",/title/tt0054215/,"https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY67_CR0,0,45,67_AL_.jpg"
42,Gladiator,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5,"13,11,291",/title/tt0172495/,"https://m.media-amazon.com/images/M/MV5BMDliMmNhNDEtODUyOS00MjNlLTgxODEtN2U3NzIxMGVkZTA1L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UY67_CR0,0,45,67_AL_.jpg"
43,City Lights,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.5,"1,63,249",/title/tt0021749/,"https://m.media-amazon.com/images/M/MV5BY2I4MmM1N2EtM2YzOS00OWUzLTkzYzctNDc5NDg2N2IyODJmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX45_CR0,0,45,67_AL_.jpg"
44,The Departed,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.5,"11,62,472",/title/tt0407887/,"https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_UY67_CR0,0,45,67_AL_.jpg"
45,The Intouchables,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.5,"7,38,623",/title/tt1675434/,"https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzc1Nw@@._V1_UY67_CR0,0,45,67_AL_.jpg"
46,Whiplash,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.5,"6,93,087",/title/tt2582802/,"https://m.media-amazon.com/images/M/MV5BOTA5NDZlZGUtMjAxOS00YTRkLTkwYmMtYWQ0NWEwZDZiNjEzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY67_CR0,0,45,67_AL_.jpg"
47,The Prestige,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.5,"11,59,622",/title/tt0482571/,"https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_UY67_CR0,0,45,67_AL_.jpg"
